"","UBIGEO","REGION","PROVINCIA","DISTRITO","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+","TD_0_14","TD_60_MAS","TD_15_59","TDD_0_14","TDD_15_64","TDD_65_MAS","TDD_PER","TDD_JOVE","TDD_VEJEZ","TASA_BONO","BONO","IND_ENVEJ","RA_POTENCIAL","RA_PADRES","cluster","cluster_nombre"
"506","050608","AYACUCHO","LUCANAS","LARAMATE",93,92,119,132,99,99,83,91,59,72,66,77,83,56,64,41,37,24,304,305,778,304,861,222,61.0917537746806,35.3077816492451,25.7839721254355,62.0764239365537,1,100.328947368421,3.87837837837838,26.9911504424779,3,"Bono demográfico activo"
"507","050609","AYACUCHO","LUCANAS","LEONCIO PRADO",59,40,30,44,44,50,58,50,61,51,57,56,76,42,48,30,26,18,129,240,471,129,547,164,53.5648994515539,23.5831809872029,29.981718464351,65.1190476190476,1,186.046511627907,3.33536585365854,23.2804232804233,2,"Alta Dependencia por envejecimiento"
"508","050610","AYACUCHO","LUCANAS","LLAUTA",68,38,34,50,26,38,45,38,48,41,39,48,42,37,18,21,16,15,140,149,373,140,415,107,59.5180722891566,33.7349397590361,25.7831325301205,62.6888217522659,1,106.428571428571,3.8785046728972,24.031007751938,3,"Bono demográfico activo"
"509","050611","AYACUCHO","LUCANAS","LUCANAS",213,210,231,219,165,144,176,146,123,99,103,83,77,64,53,40,29,26,654,289,1258,654,1335,212,64.8689138576779,48.9887640449438,15.8801498127341,60.6542480690595,1,44.1896024464832,6.29716981132075,20.9125475285171,1,"Depedencia juvenil moderada"
"510","050612","AYACUCHO","LUCANAS","OCAÑA",169,117,141,144,115,97,96,114,88,93,99,103,98,83,71,43,34,31,427,360,949,427,1047,262,65.8070678127985,40.7831900668577,25.0238777459408,60.3110599078341,1,84.3091334894614,3.99618320610687,21.6666666666667,1,"Depedencia juvenil moderada"
"511","050613","AYACUCHO","LUCANAS","OTOCA",131,93,104,111,83,77,104,103,100,96,64,67,73,78,41,34,25,16,328,267,805,328,878,194,59.4533029612756,37.3576309794989,22.0956719817768,62.7142857142857,1,81.4024390243902,4.52577319587629,20.0980392156863,3,"Bono demográfico activo"
"512","050614","AYACUCHO","LUCANAS","SAISA",20,48,50,44,43,62,44,67,44,44,39,45,49,43,30,17,11,10,118,160,432,118,481,111,47.6091476091476,24.5322245322245,23.0769230769231,67.7464788732394,1,135.593220338983,4.33333333333333,15.7894736842105,5,"Alta Depedencia por juventud"
"513","050615","AYACUCHO","LUCANAS","SAN CRISTÓBAL",137,171,202,169,113,109,105,107,73,71,55,61,61,59,26,27,21,13,510,207,863,510,924,146,70.995670995671,55.1948051948052,15.8008658008658,58.4810126582278,1,40.5882352941176,6.32876712328767,19.2090395480226,1,"Depedencia juvenil moderada"
"514","050616","AYACUCHO","LUCANAS","SAN JUAN",40,65,73,81,60,65,68,81,48,44,42,50,39,23,15,22,17,10,178,126,539,178,578,87,45.8477508650519,30.7958477508651,15.0519031141869,68.564650059312,1,70.7865168539326,6.64367816091954,20.6106870229008,5,"Alta Depedencia por juventud"
"515","050617","AYACUCHO","LUCANAS","SAN PEDRO",213,204,232,211,172,164,145,148,115,96,99,83,81,63,61,50,40,36,649,331,1233,649,1314,250,68.4170471841705,49.3911719939117,19.0258751902588,59.3764121102576,1,51.0015408320493,5.256,28.8973384030418,1,"Depedencia juvenil moderada"
"516","050618","AYACUCHO","LUCANAS","SAN PEDRO DE PALCO",64,42,71,69,53,44,43,40,46,40,30,36,42,29,25,14,12,6,177,128,401,177,443,86,59.3679458239278,39.9548532731377,19.4130925507901,62.7478753541076,1,72.316384180791,5.15116279069767,16.6666666666667,3,"Bono demográfico activo"
"517","050619","AYACUCHO","LUCANAS","SANCOS",337,352,516,576,323,267,322,417,275,238,196,193,230,159,153,95,68,56,1205,761,2807,1205,3037,531,57.1616727033256,39.6773131379651,17.4843595653606,63.6287450240939,1,63.1535269709544,5.71939736346516,20.032310177706,3,"Bono demográfico activo"
"518","050620","AYACUCHO","LUCANAS","SANTA ANA DE HUAYCAHUACHO",36,42,39,61,40,34,23,44,45,52,52,63,37,43,42,31,25,20,117,198,414,117,451,161,61.6407982261641,25.9423503325942,35.6984478935698,61.8655692729767,1,169.230769230769,2.80124223602484,29.6052631578947,2,"Alta Dependencia por envejecimiento"
"519","050621","AYACUCHO","LUCANAS","SANTA LUCIA",103,106,95,111,85,117,118,151,147,104,114,95,118,60,75,43,41,23,304,360,1042,304,1160,242,47.0689655172414,26.2068965517241,20.8620689655172,67.9953106682298,1,118.421052631579,4.79338842975207,19.5718654434251,5,"Alta Depedencia por juventud"
"520","050701","AYACUCHO","PARINACOCHAS","CORACORA",959,1243,1332,1256,927,794,870,819,694,605,537,477,453,328,217,189,144,83,3534,1414,6979,3534,7432,961,60.4817007534984,47.551130247578,12.9305705059203,62.3124004359856,1,40.0113186191285,7.73361082206035,15.4737559645535,1,"Depedencia juvenil moderada"
"521","050702","AYACUCHO","PARINACOCHAS","CHUMPI",158,143,143,181,119,109,125,125,96,88,72,71,75,64,43,47,38,23,444,290,986,444,1061,215,62.1112158341188,41.8473138548539,20.2639019792648,61.6860465116279,1,65.3153153153153,4.93488372093023,27.9816513761468,1,"Depedencia juvenil moderada"
"522","050703","AYACUCHO","PARINACOCHAS","CORONEL CASTAÑEDA",42,154,181,206,154,125,199,192,127,118,71,99,65,55,49,37,20,5,377,231,1291,377,1356,166,40.0442477876106,27.8023598820059,12.2418879056047,71.4060031595577,1,61.2732095490716,8.16867469879518,10.6382978723404,5,"Alta Depedencia por juventud"
"523","050704","AYACUCHO","PARINACOCHAS","PACAPAUSA",37,36,47,65,34,29,46,60,35,36,27,34,32,35,20,18,14,8,120,127,366,120,398,95,54.0201005025126,30.1507537688442,23.8693467336683,64.926590538336,1,105.833333333333,4.18947368421053,23.6559139784946,3,"Bono demográfico activo"
"524","050705","AYACUCHO","PARINACOCHAS","PULLO",639,760,829,634,384,551,802,740,509,382,301,250,244,169,121,99,59,41,2228,733,4553,2228,4797,489,56.639566395664,46.445695226183,10.1938711694809,63.840830449827,1,32.8994614003591,9.80981595092025,12.5786163522013,1,"Depedencia juvenil moderada"
"525","050706","AYACUCHO","PARINACOCHAS","PUYUSCA",175,168,162,167,124,126,117,110,89,93,87,78,114,84,62,41,41,25,505,367,991,505,1105,253,68.5972850678733,45.7013574660633,22.89592760181,59.3129361245303,1,72.6732673267327,4.36758893280632,23.6559139784946,1,"Depedencia juvenil moderada"
"526","050707","AYACUCHO","PARINACOCHAS","SAN FRANCISCO DE RIVACAYCO",51,43,49,34,28,34,30,32,25,21,25,27,24,12,11,9,5,4,143,65,256,143,280,41,65.7142857142857,51.0714285714286,14.6428571428571,60.3448275862069,1,45.4545454545455,6.82926829268293,11.8421052631579,1,"Depedencia juvenil moderada"
"527","050708","AYACUCHO","PARINACOCHAS","UPAHUACHO",86,108,113,116,86,60,56,70,62,54,46,46,45,42,33,30,11,9,307,170,596,307,641,125,67.3946957878315,47.8939157566303,19.5007800312012,59.7390493942218,1,55.3745928338762,5.128,14.5985401459854,1,"Depedencia juvenil moderada"
"528","050801","AYACUCHO","PÀUCAR DEL SARA SARA","PAUSA",231,309,354,325,161,145,185,206,194,162,144,139,155,113,82,67,40,34,894,491,1661,894,1816,336,67.7312775330396,49.2290748898678,18.5022026431718,59.6191726854892,1,54.9217002237136,5.40476190476191,16.8949771689498,1,"Depedencia juvenil moderada"
"529","050802","AYACUCHO","PÀUCAR DEL SARA SARA","COLTA",27,30,37,36,16,16,25,21,14,24,11,15,18,14,8,11,7,4,94,62,178,94,196,44,70.4081632653061,47.9591836734694,22.4489795918367,58.6826347305389,1,65.9574468085106,4.45454545454545,25,1,"Depedencia juvenil moderada"
"530","050803","AYACUCHO","PÀUCAR DEL SARA SARA","CORCULLA",18,31,32,35,21,12,14,28,22,12,12,18,20,12,17,12,8,6,81,75,174,81,194,55,70.1030927835051,41.7525773195876,28.3505154639175,58.7878787878788,1,92.5925925925926,3.52727272727273,28,2,"Alta Dependencia por envejecimiento"
"531","050804","AYACUCHO","PÀUCAR DEL SARA SARA","LAMPA",143,131,134,141,112,89,111,105,105,85,64,87,68,62,53,27,36,15,408,261,899,408,967,193,62.1509824198552,42.1923474663909,19.9586349534643,61.6709183673469,1,63.9705882352941,5.01036269430052,23.2876712328767,1,"Depedencia juvenil moderada"
"532","050805","AYACUCHO","PÀUCAR DEL SARA SARA","MARCABAMBA",34,35,33,22,18,29,36,41,21,22,19,21,28,24,19,14,24,11,102,120,229,102,257,92,75.4863813229572,39.6887159533074,35.7976653696498,56.9844789356984,1,117.647058823529,2.79347826086957,51.4705882352941,2,"Alta Dependencia por envejecimiento"
"533","050806","AYACUCHO","PÀUCAR DEL SARA SARA","OYOLO",116,125,184,190,133,92,84,127,70,64,49,66,71,28,36,29,21,12,425,197,875,425,946,126,58.2452431289641,44.9260042283298,13.3192389006343,63.1930527722111,1,46.3529411764706,7.50793650793651,17.741935483871,1,"Depedencia juvenil moderada"
"534","050807","AYACUCHO","PÀUCAR DEL SARA SARA","PARARCA",27,25,24,26,11,9,12,17,17,19,9,15,16,14,14,12,6,4,76,66,135,76,151,50,83.4437086092715,50.3311258278146,33.112582781457,54.5126353790614,0,86.8421052631579,3.02,25,2,"Alta Dependencia por envejecimiento"
"535","050808","AYACUCHO","PÀUCAR DEL SARA SARA","SAN JAVIER DE ALPABAMBA",26,11,15,14,18,22,27,28,24,18,18,18,19,17,12,8,7,2,52,65,187,52,206,46,47.5728155339806,25.2427184466019,22.3300970873786,67.7631578947368,1,125,4.47826086956522,16.3636363636364,5,"Alta Depedencia por juventud"
"536","050809","AYACUCHO","PÀUCAR DEL SARA SARA","SAN JOSÉ DE USHUA",20,23,28,12,8,7,20,16,12,10,14,6,17,9,11,7,3,1,71,48,105,71,122,31,83.6065573770492,58.1967213114754,25.4098360655738,54.4642857142857,0,67.6056338028169,3.93548387096774,10.8108108108108,1,"Depedencia juvenil moderada"
"537","050810","AYACUCHO","PÀUCAR DEL SARA SARA","SARA SARA",29,26,23,28,16,20,20,22,10,17,23,22,18,11,10,10,10,8,78,67,178,78,196,49,64.7959183673469,39.7959183673469,25,60.6811145510836,1,85.8974358974359,4,28.5714285714286,1,"Depedencia juvenil moderada"
"538","050901","AYACUCHO","SUCRE","QUEROBAMBA",215,292,312,296,225,200,224,225,203,185,143,142,109,92,90,66,44,18,819,419,1843,819,1952,310,57.8381147540984,41.9569672131148,15.8811475409836,63.356053229471,1,51.1599511599512,6.29677419354839,15.7360406091371,3,"Bono demográfico activo"
"539","050902","AYACUCHO","SUCRE","BELÉN",26,35,14,14,14,17,17,14,12,12,5,11,12,11,7,2,8,3,75,43,116,75,128,31,82.8125,58.59375,24.21875,54.7008547008547,0,57.3333333333333,4.12903225806452,39.2857142857143,1,"Depedencia juvenil moderada"
"540","050903","AYACUCHO","SUCRE","CHALCOS",32,40,42,39,32,25,20,24,22,19,15,13,14,12,9,8,3,5,114,51,209,114,223,37,67.7130044843049,51.1210762331839,16.5919282511211,59.6256684491979,1,44.7368421052632,6.02702702702703,19.047619047619,1,"Depedencia juvenil moderada"
"541","050904","AYACUCHO","SUCRE","CHILCAYOC",58,40,29,30,26,32,26,31,20,17,14,13,18,12,12,8,10,6,127,66,209,127,227,48,77.0925110132159,55.9471365638767,21.1453744493392,56.4676616915423,1,51.9685039370079,4.72916666666667,35.5555555555556,1,"Depedencia juvenil moderada"
"542","050905","AYACUCHO","SUCRE","HUACAÑA",19,19,18,33,13,13,13,15,14,20,20,11,7,12,11,10,4,4,56,48,152,56,159,41,61.0062893081761,35.2201257861635,25.7861635220126,62.109375,1,85.7142857142857,3.8780487804878,21.0526315789474,3,"Bono demográfico activo"
"543","050906","AYACUCHO","SUCRE","MORCOLLA",71,68,87,87,83,66,57,53,56,53,55,68,50,38,42,27,13,9,226,179,578,226,628,129,56.5286624203822,35.9872611464968,20.5414012738854,63.8860630722279,1,79.2035398230089,4.86821705426357,12.7167630057803,3,"Bono demográfico activo"
"544","050907","AYACUCHO","SUCRE","PAICO",35,31,27,32,27,16,17,26,28,19,21,21,19,23,14,10,13,6,93,85,207,93,226,66,70.353982300885,41.1504424778761,29.2035398230088,58.7012987012987,1,91.3978494623656,3.42424242424242,31.1475409836066,2,"Alta Dependencia por envejecimiento"
"545","050908","AYACUCHO","SUCRE","SAN PEDRO DE LARCAY",67,58,70,69,51,37,35,42,39,33,37,32,33,14,22,16,13,6,195,104,375,195,408,71,65.1960784313726,47.7941176470588,17.4019607843137,60.5341246290801,1,53.3333333333333,5.74647887323944,18.6274509803922,1,"Depedencia juvenil moderada"
"546","050909","AYACUCHO","SUCRE","SAN SALVADOR DE QUIJE",81,58,61,76,64,56,47,52,48,32,38,32,33,18,22,17,11,4,200,105,445,200,478,72,56.9037656903766,41.8410041841004,15.0627615062762,63.7333333333333,1,52.5,6.63888888888889,14.5631067961165,3,"Bono demográfico activo"
"547","050910","AYACUCHO","SUCRE","SANTIAGO DE PAUCARAY",50,41,45,56,38,22,17,30,30,18,23,29,24,28,22,12,10,6,136,102,263,136,287,78,74.5644599303136,47.3867595818815,27.1777003484321,57.2854291417166,1,75,3.67948717948718,21.0526315789474,1,"Depedencia juvenil moderada"
"548","050911","AYACUCHO","SUCRE","SORAS",52,65,73,104,65,51,49,54,50,54,36,51,25,29,21,19,16,7,190,117,514,190,539,92,52.3191094619666,35.2504638218924,17.0686456400742,65.6516443361754,1,61.5789473684211,5.85869565217391,20.5357142857143,3,"Bono demográfico activo"
"549","051001","AYACUCHO","VÍCTOR FAJARDO","HUANCAPI",104,118,118,107,112,107,120,129,104,106,80,62,67,74,46,41,30,20,340,278,927,340,994,211,55.4325955734406,34.20523138833,21.2273641851107,64.336569579288,1,81.7647058823529,4.71090047393365,23.9234449760766,3,"Bono demográfico activo"
"550","051002","AYACUCHO","VÍCTOR FAJARDO","ALCAMENCA",76,74,73,89,77,80,79,74,66,65,55,56,57,51,47,30,19,9,223,213,641,223,698,156,54.297994269341,31.9484240687679,22.3495702005731,64.8096564531105,1,95.5156950672646,4.47435897435897,16.6666666666667,3,"Bono demográfico activo"
"551","051003","AYACUCHO","VÍCTOR FAJARDO","APONGO",30,29,31,37,38,28,34,38,32,32,29,27,28,17,26,17,11,6,90,105,295,90,323,77,51.702786377709,27.8637770897833,23.8390092879257,65.9183673469388,1,116.666666666667,4.19480519480519,20.2380952380952,5,"Alta Depedencia por juventud"
"552","051004","AYACUCHO","VÍCTOR FAJARDO","ASQUIPATA",18,19,19,25,20,20,29,18,26,21,14,27,21,29,37,30,12,6,56,135,200,56,221,114,76.9230769230769,25.3393665158371,51.5837104072398,56.5217391304348,1,241.071428571429,1.93859649122807,29.0322580645161,2,"Alta Dependencia por envejecimiento"
"553","051005","AYACUCHO","VÍCTOR FAJARDO","CANARIA",204,388,396,333,308,372,409,379,384,295,276,247,269,202,184,149,120,44,988,968,3003,988,3272,699,51.5586797066015,30.1955990220049,21.3630806845966,65.9810445654366,1,97.9757085020243,4.68097281831187,20.7070707070707,3,"Bono demográfico activo"
"554","051006","AYACUCHO","VÍCTOR FAJARDO","CAYARA",42,52,76,87,79,69,60,71,55,71,53,44,44,46,44,31,25,10,170,200,589,170,633,156,51.5007898894155,26.8562401263823,24.6445497630332,66.0062565172054,1,117.647058823529,4.05769230769231,24.822695035461,5,"Alta Depedencia por juventud"
"555","051007","AYACUCHO","VÍCTOR FAJARDO","COLCA",42,50,66,55,61,55,63,62,67,60,47,40,37,43,30,20,27,10,158,167,510,158,547,130,52.6508226691042,28.8848263254113,23.7659963436929,65.5089820359281,1,105.696202531646,4.20769230769231,29.8387096774194,3,"Bono demográfico activo"
"556","051008","AYACUCHO","VÍCTOR FAJARDO","HUAMANQUIQUIA",69,90,98,87,69,66,70,60,59,49,42,39,29,31,23,14,13,7,257,117,541,257,570,88,60.5263157894737,45.0877192982456,15.4385964912281,62.2950819672131,1,45.5252918287938,6.47727272727273,18.1818181818182,1,"Depedencia juvenil moderada"
"557","051009","AYACUCHO","VÍCTOR FAJARDO","HUANCARAYLLA",82,71,77,84,73,72,73,85,55,62,56,35,49,40,37,32,15,7,230,180,595,230,644,131,56.055900621118,35.7142857142857,20.3416149068323,64.0796019900498,1,78.2608695652174,4.91603053435114,15.7142857142857,3,"Bono demográfico activo"
"558","051010","AYACUCHO","VÍCTOR FAJARDO","HUALLA",98,108,148,147,131,112,103,98,95,80,88,63,78,48,44,44,38,19,354,271,917,354,995,193,54.9748743718593,35.5778894472362,19.3969849246231,64.526588845655,1,76.5536723163842,5.15544041450777,24.8908296943231,3,"Bono demográfico activo"
"559","051011","AYACUCHO","VÍCTOR FAJARDO","SARHUA",199,248,323,334,306,238,232,253,215,161,185,139,124,131,57,57,57,14,770,440,2063,770,2187,316,49.6570644718793,35.2080475537266,14.4490169181527,66.8194317140238,1,57.1428571428571,6.92088607594937,15.8482142857143,3,"Bono demográfico activo"
"560","051012","AYACUCHO","VÍCTOR FAJARDO","VILCANCHOS",179,149,216,182,158,133,136,145,109,107,92,101,76,63,57,33,30,17,544,276,1163,544,1239,200,60.0484261501211,43.9063761097659,16.1420500403551,62.4810892586989,1,50.7352941176471,6.195,17.4721189591078,1,"Depedencia juvenil moderada"
"561","051101","AYACUCHO","VILCAS HUAMÁN","VILCAS HUAMAN",469,586,564,679,551,459,441,487,419,348,338,300,231,200,190,134,89,44,1619,888,4022,1619,4253,657,53.5151657653421,38.0672466494239,15.4479191159182,65.1401439730433,1,54.8486720197653,6.47336377473364,15.3049482163406,3,"Bono demográfico activo"
"562","051102","AYACUCHO","VILCAS HUAMÁN","ACCOMARCA",49,42,47,50,44,49,47,50,41,35,34,35,32,31,19,23,19,9,138,133,385,138,417,101,57.3141486810552,33.0935251798561,24.220623501199,63.5670731707317,1,96.3768115942029,4.12871287128713,27.7227722772277,3,"Bono demográfico activo"
"563","051103","AYACUCHO","VILCAS HUAMÁN","CARHUANCA",40,42,60,61,38,32,38,49,30,21,22,41,44,25,19,24,13,10,142,135,332,142,376,91,61.968085106383,37.7659574468085,24.2021276595745,61.7405582922824,1,95.0704225352113,4.13186813186813,21.4953271028037,3,"Bono demográfico activo"
"564","051104","AYACUCHO","VILCAS HUAMÁN","CONCEPCIÓN",107,96,100,117,100,100,87,84,67,67,63,55,54,39,36,21,23,9,303,182,740,303,794,128,54.2821158690176,38.1612090680101,16.1209068010076,64.8163265306122,1,60.0660066006601,6.203125,18.6046511627907,3,"Bono demográfico activo"
"565","051105","AYACUCHO","VILCAS HUAMÁN","HUAMBALPA",84,77,81,95,66,58,64,64,44,55,60,46,39,32,45,30,21,11,242,178,552,242,591,139,64.4670050761421,40.9475465313029,23.5194585448393,60.8024691358025,1,73.5537190082645,4.25179856115108,22.0689655172414,1,"Depedencia juvenil moderada"
"566","051106","AYACUCHO","VILCAS HUAMÁN","INDEPENDENCIA",44,51,66,78,65,54,54,55,38,53,50,39,37,35,37,28,26,10,161,173,486,161,523,136,56.7877629063097,30.7839388145315,26.0038240917782,63.780487804878,1,107.453416149068,3.84558823529412,28.5714285714286,3,"Bono demográfico activo"
"567","051107","AYACUCHO","VILCAS HUAMÁN","SAURAMA",57,47,61,87,60,57,59,59,44,44,39,38,48,28,32,27,15,14,165,164,487,165,535,116,52.5233644859813,30.8411214953271,21.6822429906542,65.5637254901961,1,99.3939393939394,4.61206896551724,23.2,3,"Bono demográfico activo"
"568","051108","AYACUCHO","VILCAS HUAMÁN","VISCHONGO",267,361,392,468,349,312,307,347,264,271,201,171,173,141,109,87,78,33,1020,621,2690,1020,2863,448,51.2748864827104,35.6269647223192,15.6479217603912,66.1048256753637,1,60.8823529411765,6.390625,20.3669724770642,3,"Bono demográfico activo"
"569","060101","CAJAMARCA","CAJAMARCA","CAJAMARCA",20683,29364,27328,25919,20584,22102,24749,23675,19964,16802,12136,10055,8206,6415,4774,2751,1338,1358,77375,24842,175986,77375,184192,16636,51.039675990271,42.0077962126477,9.03187977762335,66.2077691469898,1,32.1059773828756,11.0718922817985,8.86929631213606,3,"Bono demográfico activo"
"570","060102","CAJAMARCA","CAJAMARCA","ASUNCIÓN",593,586,687,690,517,544,546,499,463,412,325,312,253,214,164,125,95,85,1866,936,4308,1866,4561,683,55.8868669151502,40.9120806840605,14.9747862310897,64.1490857946554,1,50.1607717041801,6.67789165446559,20.2247191011236,3,"Bono demográfico activo"
"571","060103","CAJAMARCA","CAJAMARCA","CHETILLA",364,358,339,347,288,291,248,234,190,190,136,118,110,93,71,40,28,19,1061,361,2042,1061,2152,251,60.9665427509294,49.3029739776952,11.6635687732342,62.1247113163972,1,34.0245051837889,8.57370517928287,12.9120879120879,1,"Depedencia juvenil moderada"
"572","060104","CAJAMARCA","CAJAMARCA","COSPAN",622,614,670,718,521,458,435,369,363,362,267,232,222,170,132,81,50,54,1906,709,3725,1906,3947,487,60.6283253103623,48.2898403851026,12.3384849252597,62.2555205047319,1,37.1983210912907,8.1047227926078,14.4244105409154,1,"Depedencia juvenil moderada"
"573","060105","CAJAMARCA","CAJAMARCA","ENCAÑADA",1913,1379,1380,1425,1128,1559,1619,1512,1210,1106,768,612,520,372,322,190,98,70,4672,1572,10939,4672,11459,1052,49.9520027925648,40.7714460249585,9.18055676760625,66.6880055869173,1,33.6472602739726,10.8925855513308,8.84210526315789,3,"Bono demográfico activo"
"574","060106","CAJAMARCA","CAJAMARCA","JESÚS",1756,1494,1523,1663,1273,1176,1151,1061,891,805,640,568,468,397,282,182,110,131,4773,1570,9228,4773,9696,1102,60.59199669967,49.2264851485149,11.3655115511551,62.2696037505619,1,32.8933584747538,8.79854809437387,14.3794749403341,1,"Depedencia juvenil moderada"
"575","060107","CAJAMARCA","CAJAMARCA","LLACANORA",600,607,583,563,439,555,532,503,403,372,271,225,174,132,100,78,37,44,1790,565,3863,1790,4037,391,54.0252662868467,44.3398563289571,9.68540995788952,64.924412994532,1,31.5642458100559,10.3248081841432,12.089552238806,3,"Bono demográfico activo"
"576","060108","CAJAMARCA","CAJAMARCA","LOS BAÑOS DEL INCA",4625,5091,5043,4679,3805,4546,4906,4639,3863,3152,2281,1823,1414,1133,797,554,286,252,14759,4436,33694,14759,35108,3022,50.6465762789108,42.0388515438077,8.60772473510311,66.3805328140067,1,30.0562368724168,11.6174718729318,9.74990938745922,3,"Bono demográfico activo"
"577","060109","CAJAMARCA","CAJAMARCA","MAGDALENA",776,683,646,770,552,637,672,656,490,465,348,326,236,211,153,116,57,60,2105,833,4916,2105,5152,597,52.445652173913,40.8579192546584,11.5877329192547,65.5971479500891,1,39.5724465558195,8.62981574539364,12.8571428571429,3,"Bono demográfico activo"
"578","060110","CAJAMARCA","CAJAMARCA","MATARA",261,238,273,288,245,289,290,238,211,207,163,174,159,104,83,58,46,36,772,486,2105,772,2264,327,48.5424028268551,34.0989399293286,14.4434628975265,67.3208444840916,1,62.9533678756477,6.92354740061162,16.5322580645161,3,"Bono demográfico activo"
"579","060111","CAJAMARCA","CAJAMARCA","NAMORA",1137,1010,980,939,739,754,708,703,548,464,349,303,269,204,147,91,69,57,3127,837,5507,3127,5776,568,63.9716066481994,54.137811634349,9.83379501385042,60.9861683032415,1,26.7668692037096,10.169014084507,13.6807817589577,1,"Depedencia juvenil moderada"
"580","060112","CAJAMARCA","CAJAMARCA","SAN JUAN",415,309,326,365,328,341,330,299,268,244,193,149,130,114,75,63,36,32,1050,450,2517,1050,2647,320,51.7567057045712,39.6675481677371,12.0891575368342,65.8949464774708,1,42.8571428571429,8.271875,14.4067796610169,3,"Bono demográfico activo"
"581","060201","CAJAMARCA","CAJABAMBA","CAJABAMBA",3390,3246,3306,3401,2572,2537,2522,2518,2111,2096,1557,1361,1163,905,634,412,270,270,9942,3654,20675,9942,21838,2491,56.9328693103764,45.5261470830662,11.4067222273102,63.7215138163462,1,36.7531683765842,8.76676033721397,13.2320509679,1,"Depedencia juvenil moderada"
"582","060202","CAJAMARCA","CAJABAMBA","CACHACHI",3162,3256,3160,2999,2089,1823,1630,1438,1194,1039,832,698,628,433,366,248,161,158,9578,1994,13742,9578,14370,1366,76.1586638830898,66.6527487821851,9.50591510090466,56.7670063996208,1,20.8185424932136,10.5197657393851,14.7822057460612,4,"Transición al envejecimiento"
"583","060203","CAJAMARCA","CAJABAMBA","CONDEBAMBA",1264,1427,1519,1786,1142,1111,1009,1034,838,702,604,505,438,352,294,205,117,116,4210,1522,8731,4210,9169,1084,57.738030319555,45.9155851237867,11.8224451957683,63.3962525063956,1,36.1520190023753,8.45848708487085,15.0614091790562,1,"Depedencia juvenil moderada"
"584","060204","CAJAMARCA","CAJABAMBA","SITACOCHA",1036,1028,1012,1006,705,582,492,523,434,444,329,286,244,216,176,103,64,68,3076,871,4801,3076,5045,627,73.3994053518335,60.9712586719524,12.4281466798811,57.6703246456333,1,28.3159947984395,8.04625199362041,15.3667054714785,1,"Depedencia juvenil moderada"
"585","060301","CAJAMARCA","CELENDÍN","CELENDÍN",2480,2767,2748,2991,2249,2191,2054,1994,1666,1545,1207,1142,936,732,590,413,242,275,7995,3188,17039,7995,17975,2252,57.0069541029207,44.4784422809458,12.528511821975,63.6914463893416,1,39.8749218261413,7.98179396092362,15.738203957382,1,"Depedencia juvenil moderada"
"586","060302","CAJAMARCA","CELENDÍN","CHUMUCH",197,235,255,309,223,195,179,155,151,121,109,95,74,48,53,29,21,20,687,245,1537,687,1611,171,53.2588454376164,42.6443202979516,10.6145251396648,65.2490886998785,1,35.6622998544396,9.42105263157895,14.7482014388489,3,"Bono demográfico activo"
"587","060303","CAJAMARCA","CELENDÍN","CORTEGANA",625,655,695,810,608,536,465,447,379,335,232,217,173,129,117,68,48,38,1975,573,4029,1975,4202,400,56.5207044264636,47.0014278914802,9.51927653498334,63.8893112361259,1,29.0126582278481,10.505,13.8263665594855,1,"Depedencia juvenil moderada"
"588","060304","CAJAMARCA","CELENDÍN","HUASMIN",890,822,946,1101,883,809,787,812,674,578,419,369,330,252,200,128,75,78,2658,1063,6432,2658,6762,733,50.1478852410529,39.3078970718722,10.8399881691807,66.6010046291736,1,39.992475545523,9.22510231923602,13.6851520572451,3,"Bono demográfico activo"
"589","060305","CAJAMARCA","CELENDÍN","JORGE CHÁVEZ",19,29,23,26,25,43,44,39,37,27,29,24,29,17,16,16,12,8,71,98,294,71,323,69,43.343653250774,21.9814241486068,21.3622291021672,69.7624190064795,1,138.028169014085,4.68115942028986,24.390243902439,5,"Alta Depedencia por juventud"
"590","060306","CAJAMARCA","CELENDÍN","JOSÉ GÁLVEZ",238,183,208,200,149,192,204,209,156,144,121,108,87,82,61,40,29,34,629,333,1483,629,1570,246,55.7324840764331,40.0636942675159,15.6687898089172,64.2126789366053,1,52.9411764705882,6.38211382113821,19.9367088607595,3,"Bono demográfico activo"
"591","060307","CAJAMARCA","CELENDÍN","MIGUEL IGLESIAS",384,318,389,431,383,307,312,282,242,191,154,141,115,86,56,46,23,27,1091,353,2443,1091,2558,238,51.9546520719312,42.6505082095387,9.3041438623925,65.8091072806792,1,32.3556370302475,10.7478991596639,12.1951219512195,3,"Bono demográfico activo"
"592","060308","CAJAMARCA","CELENDÍN","OXAMARCA",583,604,621,650,530,476,442,433,442,368,252,221,177,133,123,75,43,31,1808,582,3814,1808,3991,405,55.4497619644199,45.3019293410173,10.1478326234027,64.3294648613798,1,32.1902654867257,9.85432098765432,11.3846153846154,1,"Depedencia juvenil moderada"
